signal_id,subsystem,direction,mesa_card,connector,pin_channel,hal_net,field_point_or_load,authority_status,primary_source,cleanup_notes,dest_connector,dest_pin,factory_wire
AIR_BLAST,Air,OUT,7i84U-B,TB3,OUT3,air-blast,SOL-15 spindle air blast via RLY-5 (interposing relay for 100VAC coil),FACTORY_INTERFACE,field_7i84u.hal,"Verify SOL-62 identification against parts list pp.85-91 | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md] | [2026-08-12 CONFLICT: the OEM head placard (dwg 24136209710) disagrees with this solenoid identity - see wiring/authority_conflicts.md section 5 and wiring/head_device_placard.md. Nothing changed here; identity must be settled BEFORE RLY-5/6/7 are wired.] | [2026-08-13 IDENTIFIED: coil wire label read on the machine = 415 -> SOL-15 SPINDLE AIR BLAST, matching connector_crossref (OEM pg90). The SOL-62 label on this row was WRONG. Function and wire were already correct, so the fix is a relabel not a rebinding. Owner approval pending. See wiring/authority_conflicts.md section 5] | [2026-08-13 APPLIED (owner approved): field point corrected SOL-62 -> SOL-15. Coil wire label read on the machine = 415 (RC3A side) / 215 (terminal-unit side, CN11-6). Function and wire were already correct - this was a relabel, not a rebinding. hal_net air-blast and the OUT3 binding are unchanged.]",CN11,6,215
WORK_AIR_BLAST,Air,OUT,7i84U-B,TB3,OUT4,none,SOL-16 work air blast via RLY-6 (interposing relay for 100VAC coil),RESERVED,field_7i84u.hal,"MMS touch-sensor air jet | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md] | [2026-08-12 CONFLICT: the OEM head placard (dwg 24136209710) disagrees with this solenoid identity - see wiring/authority_conflicts.md section 5 and wiring/head_device_placard.md. Nothing changed here; identity must be settled BEFORE RLY-5/6/7 are wired.] | [2026-08-13 DEVICE NOT FITTED: owner confirms only two air solenoids exist on the head (415=SOL-15, 416=SOL-16) and there are no hidden ones. This row was labelled SOL-35 (dust inhole eliminate); neither SOL-35 nor SOL-61 (air jet) is on the head. SOL-61 serves the MMS touch sensor, already flagged OPTION_VERIFY. RECOMMEND NOT_USED/RESERVED - do not fit RLY-6. Owner decision. See authority_conflicts.md section 5] | [2026-08-13 REPURPOSED (owner approved): was TOUCH_SENSOR_BLAST / SOL-35. That device (MMS touch-sensor air jet, SOL-61) is NOT FITTED on this machine - only SOL-15 and SOL-16 exist on the head. This terminal is reallocated to SOL-16 WORK AIR BLAST, which IS fitted and wired (coil label 416 / CN11-7 wire 216) but previously had no authority row. RESERVED with hal_net none per the MANUAL_TOOL_CLAMP_PB precedent: real device, not yet field-verified, so deliberately HAL-unbound. Bind it once RLY-6 is fitted and the wire is confirmed.]",CN11,7,216
TAP_COOLANT_BLAST,Coolant,OUT,7i84U-B,TB3,OUT5,none,NOT USED - no tap-coolant solenoid fitted (SOL-61 is the air jet and is absent),NOT_USED,field_7i84u.hal,"[LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md] | [2026-08-12 CONFLICT: the OEM head placard (dwg 24136209710) disagrees with this solenoid identity - see wiring/authority_conflicts.md section 5 and wiring/head_device_placard.md. Nothing changed here; identity must be settled BEFORE RLY-5/6/7 are wired.] | [2026-08-13 DEVICE NOT FITTED: SOL-61 is not on the head and no tap-coolant solenoid has been located anywhere. TAPC remains on CN6-18 -> CNB-46, untraced. RECOMMEND NOT_USED/RESERVED - do not fit RLY-7. Owner decision. See authority_conflicts.md section 5] | [2026-08-13 APPLIED (owner approved): NOT_USED, matching how MIST_COOLANT was handled when that system was found absent. The SOL-61 tag this row carried belongs to the air jet, which is not fitted; no tap-coolant solenoid has been located anywhere. TAPC remains on CN6-18 -> CNB-46, untraced. Do not fit RLY-7.]",,,
ATC_BARRIER_SOL,ATC interlock,OUT,7i84U-B,TB3,OUT6,atc-barrier,ATC barrier expand solenoid (PLC Y095 TCME.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,Verify device exists on SN 060231 | [RECON 2026-08-08 §A: element list confirms Y095 TCME.M 'BARRIER EXPAND at ATC AREA' on 060231] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],,,
FLOOD_VALVE,Coolant,OUT,7i84U-B,TB3,OUT7,flood-valve,"Flood coolant valve, separate from pump motor (PLC Y011 FCL)",FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,SOL-31 confirmed via TB-51 diagram. Separate from OUT11 pump on 7i84U-A. | [RECON 2026-08-08 §C: Y011 FCL valve genuinely distinct from Y010 FCM motor; Y012 THC through-hole separate] | [RECON 2026-08-08 follow-up: status PROPOSED -> COMMISSIONING_PENDING per §C element-list confirm] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md],CN11,13,231
MAG_COVER_CLOSE_SOL,Magazine,OUT,7i84U-B,TB2,OUT8,mag-cover-close,Single energise-to-close magazine cover valve via interposing relay,PROPOSED,atc_orient.hal,Logical channel allocated only; trace valve identity coil voltage relay topology and safe direction before landing field wire | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],,,
WORK_LIGHT,Utility,OUT,7i84U-B,TB2,OUT9,none,Work light via RLY-8 (interposing relay for 100VAC coil); OEM CN6 pin 8 wire WL (wire no. 3-34),RESERVED,wiring/bbia1_cn_pinouts.md,Reassigned from SEVENI84UB_OUT9_SPARE 2026-08-09 | [CONFIRM 2026-08-09: 100VAC lamp confirmed by Andy - requires interposing relay RLY-8; same topology as RLY-5/6/7 (AIR_BLAST/TOUCH_SENSOR_BLAST/TAP_COOLANT_BLAST)] | Relay coil rating and CB-panel landing point not yet verified | RESERVED 2026-08-11: hal_net set to none (no HAL binding yet) - re-assert net work-light when RLY-8 is wired | !! 100VAC LOAD: OUT9 drives the RLY-8 coil only; the lamp circuit is 100VAC - do NOT repurpose OUT9 as a low-voltage DC output while RLY-8 is landed,OEM CN6,8,
SEVENI84UB_OUT10_SPARE,Spare,OUT,7i84U-B,TB2,OUT10,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_OUT11_SPARE,Spare,OUT,7i84U-B,TB2,OUT11,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_OUT12_SPARE,Spare,OUT,7i84U-B,TB2,OUT12,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_OUT13_SPARE,Spare,OUT,7i84U-B,TB2,OUT13,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_OUT14_SPARE,Spare,OUT,7i84U-B,TB2,OUT14,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_OUT15_SPARE,Spare,OUT,7i84U-B,TB2,OUT15,none,Spare output on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
P3_GPIO_SPARE,Spare,GPIO,7i80HDT,"P3 GPIO (bare, no daughter card)",TBD_FROM_IDROM,none,Spare direct FPGA GPIO on P3 (all pins),SPARE,mesa_firmware_checklist.md,P3 is unused/spare in this configuration. Actual GPIO indices depend on the verified bitfile/IDROM. Do NOT wire 24V field signals to bare P3; use isolated field I/O.,,,
SEVENI84U_VIN_24V,Power,POWER,7i84U-A,TB1,TB1 pin 5 VIN (+24 V logic power),none,Field I/O logic power,ELECTRICALLY_VERIFIED,Mesa 7i84U manual pp.2/7-8/47,AG verified 08-07-2026: W1 physically RIGHT; direct VIN feed Mean Well +V2 through 5 A branch fuse to TB1-5; return -V4 to TB1-6; 24.0 VDC measured TB1-5 to TB1-6; de-energized continuity 0 ohms. Evidence: docs/commissioning_logs/mazak_commissioning_records_07-08-2026.json,,,
SEVENI84U_GND,Power,POWER,7i84U-A,TB1,TB1 pins 6/7/8 GND (VIN/VFIELD common),none,VIN/VFIELD common return,PROPOSED,Mesa 7i84U manual pp.7-8,All three terminals are common; land 0 V only here.,,,
SEVENI84UB_VIN_24V,Power,POWER,7i84U-B,TB1,TB1 pin 5 VIN (+24 V logic power),none,Field I/O logic power,PROPOSED,Mesa 7i84U manual pp.2/7-8/47,W1 left links VIN internally to VFIELDB; W1 right requires a separate 5-28 VDC VIN supply. Record W1 position and do not double-feed.,,,
SEVENI84UB_GND,Power,POWER,7i84U-B,TB1,TB1 pins 6/7/8 GND (VIN/VFIELD common),none,VIN/VFIELD common return,PROPOSED,Mesa 7i84U manual pp.7-8,All three terminals are common; land 0 V only here.,,,
